onboarded_month,user_login_month,count_user_login,auth_month,registration_status,primary_act_holder_member_id,transfer_amount,deposit_amount,deposit_count,transaction_amount,transfer_count
2021-08-06,2021-10-18,79,2021-05-17,onboarded,622,706.2,756.43,28,7.44,12
2021-09-28,2021-06-01,98,2021-04-10,activated,61,1674.3,574.6,7,69.42,79
2021-11-25,2021-09-17,8,2021-01-13,activated,750,902.35,546.12,78,85.22,98
2021-12-07,2021-04-05,12,2021-11-28,activated,143,1926.3,1857.88,48,94.1,92
2021-02-24,2021-01-02,48,2021-12-22,onboarded,613,1108.38,1820.74,90,55.21,79
2021-10-28,2021-09-17,51,2021-04-11,pending,291,24.66,431.89,66,64.3,48
2021-11-16,2021-09-21,91,2021-07-22,onboarded,399,1483.93,1985.2,60,19.54,65
2021-10-06,2021-12-14,82,2021-12-18,onboarded,399,1218.27,889.84,55,40.1,55
2021-11-03,2021-01-16,82,2021-09-19,activated,742,392.72,1259.88,77,4.72,42
2021-01-12,2021-05-22,2,2021-02-28,activated,814,621.3,1111.8,86,46.99,34
2021-07-26,2021-02-12,59,2021-10-04,pending,200,702.5,819.58,76,86.7,3
2021-03-30,2021-10-23,98,2021-12-16,onboarded,45,184.86,1712.86,32,64.9,62
2021-05-20,2021-07-07,9,2021-10-26,onboarded,772,733.75,787.92,7,65.74,37
2021-10-18,2021-06-22,61,2021-01-04,activated,828,1643.23,1728.37,16,64.5,34
2021-12-26,2021-05-14,92,2021-09-23,activated,538,221.8,1797.57,67,60,81
2021-03-10,2021-01-28,57,2021-01-26,onboarded,361,1628.93,1280.68,25,17.6,10
2021-09-23,2021-10-12,88,2021-08-03,activated,9,267.57,106.31,78,25.4,97
2021-01-16,2021-11-28,41,2021-08-25,onboarded,332,1961.8,1450.3,59,73.85,68
2021-02-07,2021-07-21,15,2021-04-13,activated,998,1612.55,1660.47,92,38.53,84
2021-04-22,2021-12-22,44,2021-04-07,onboarded,577,914.59,475.65,83,64.72,85
2021-10-12,2021-04-04,35,2021-01-11,onboarded,105,1996.7,1643.32,72,20.29,59
2021-09-29,2021-06-06,28,2021-12-06,onboarded,49,1633.11,835.6,52,53.12,11
2021-02-06,2021-12-09,72,2021-10-23,onboarded,803,389.88,648.32,79,22.95,38
2021-10-21,2021-06-03,13,2021-04-23,onboarded,95,324.3,1940.69,43,62.11,44
2021-02-16,2021-03-15,18,2021-11-13,pending,693,529.23,404.28,66,33.95,52
2021-08-13,2021-08-20,44,2021-07-15,onboarded,729,694.81,1258.26,16,15.29,59
2021-06-29,2021-12-03,2,2021-08-18,onboarded,822,672.62,1980.87,69,72.2,89
2021-10-15,2021-01-04,5,2021-10-09,activated,386,843.6,558.58,18,86.46,49
2021-10-13,2021-09-12,67,2021-06-29,onboarded,992,1886.87,439.9,18,27.95,63
2021-07-01,2021-08-30,44,2021-01-10,onboarded,635,960.87,61.39,9,21.71,15
2021-12-07,2021-07-17,66,2021-12-03,onboarded,741,1433.3,358.17,35,33.72,43
2021-05-30,2021-05-01,68,2021-06-12,activated,810,1619.2,1973.9,50,72.71,82
2021-07-31,2021-01-30,24,2021-04-02,onboarded,886,267.34,424.67,40,60.58,76
2021-02-08,2021-12-18,67,2021-08-17,onboarded,923,635.25,1310.46,11,66.62,40
2021-02-10,2021-09-03,51,2021-03-13,onboarded,484,972.97,1543,27,41.25,54
2021-08-15,2021-01-17,78,2021-03-10,onboarded,364,554.98,300.51,99,25.74,58
2021-10-27,2021-08-23,54,2021-11-24,onboarded,363,983.6,1188.94,84,57.45,68
2021-12-22,2021-12-15,100,2021-08-19,onboarded,904,55.82,1986.62,10,18.13,72
2021-03-31,2021-12-07,44,2021-02-24,onboarded,308,939.24,418.55,67,13.94,53
2021-11-13,2021-03-27,82,2021-08-19,activated,426,853.5,1350.85,45,28.75,20
2021-04-06,2021-10-26,74,2021-10-29,activated,938,1624.77,296,81,9.42,7
2021-11-30,2021-08-29,49,2021-10-13,onboarded,718,662.38,1350.79,29,11.15,11
2021-02-22,2021-01-07,82,2021-02-03,onboarded,961,1310.48,121.45,76,99.26,77
2021-12-03,2021-11-17,1,2021-02-09,onboarded,277,736.46,606.13,73,89.38,59
2021-04-02,2021-01-27,100,2021-09-24,activated,27,1172.66,469.13,72,9.53,69
2021-10-21,2021-01-11,42,2021-08-17,onboarded,482,900.96,744.45,79,13.11,79
2021-10-12,2021-05-26,23,2021-03-10,onboarded,685,1480.84,172.75,8,76.49,8
2021-02-14,2021-02-28,72,2021-01-27,activated,929,1712.88,846.5,88,14.82,16
2021-10-01,2021-04-18,13,2021-05-30,activated,86,760.41,176.64,73,64.78,16
2021-01-31,2021-06-21,19,2021-05-27,onboarded,148,1940.45,511.39,48,75.83,17
2021-03-29,2021-08-17,1,2021-08-10,onboarded,990,1853.89,588.5,70,64.86,50
2021-10-02,2021-08-05,29,2021-07-20,activated,634,269.75,311.88,91,73.64,73
2021-01-10,2021-03-21,60,2021-10-13,activated,922,739.51,75.6,94,99.37,63
2021-10-05,2021-05-05,71,2021-02-13,pending,576,1236.35,1810.8,52,18.21,12
2021-05-15,2021-09-25,47,2021-05-20,pending,779,410.35,1699.9,86,43.5,2
2021-12-09,2021-03-22,82,2021-04-22,onboarded,368,1041.69,408.6,53,82.15,5
2021-02-17,2021-10-07,76,2021-10-02,onboarded,333,1846.46,370.81,56,6.42,50
2021-12-26,2021-03-28,80,2021-03-27,onboarded,651,1116.5,483.8,61,29.18,25
2021-08-26,2021-01-25,44,2021-07-17,onboarded,260,29.66,330.61,81,3.49,8
2021-09-26,2021-08-05,86,2021-08-20,activated,35,574.81,45.41,5,84.76,50
2021-05-15,2021-08-06,50,2021-08-13,activated,606,1046.44,1977.6,49,2.12,69
2021-07-27,2021-04-19,78,2021-01-11,onboarded,353,1618.7,1113.89,33,31.15,47
2021-01-29,2021-04-23,3,2021-07-12,onboarded,419,1488.99,1994.74,13,75.22,44
2021-07-31,2021-07-19,57,2021-03-10,pending,536,1759.35,789.93,8,99.79,34
2021-09-26,2021-06-15,54,2021-10-09,activated,256,832,1920.58,87,80.57,31
2021-10-12,2021-03-17,49,2021-08-06,activated,20,1074.78,1733.4,86,48.78,37
2021-09-29,2021-12-18,23,2021-10-21,onboarded,658,41.12,1692.84,2,97.68,58
2021-07-07,2021-07-31,12,2021-12-29,onboarded,827,1150.67,1053.15,5,70.88,47
2021-02-01,2021-09-27,65,2021-08-22,activated,687,20.9,686.75,95,98.72,2
2021-01-08,2021-10-08,48,2021-04-17,pending,699,1413.56,1283.76,66,59.8,69
2021-11-22,2021-03-18,1,2021-07-23,onboarded,862,1959.43,1913.24,27,57.56,86
2021-09-04,2021-06-13,67,2021-11-16,activated,580,58.49,1222.88,44,78.33,47
2021-02-12,2021-02-19,57,2021-01-30,onboarded,163,1699.73,464.71,51,51.18,1
2021-06-22,2021-11-23,5,2021-02-11,activated,500,302.41,1150.98,77,62.76,56
2021-10-15,2021-03-10,49,2021-08-30,onboarded,694,822.71,1628.33,46,71.11,31
2021-01-21,2021-11-22,25,2021-01-13,onboarded,240,5.86,13.31,11,64.2,71
2021-06-12,2021-01-27,96,2021-07-11,onboarded,816,538.57,1141.61,12,92.71,78
2021-06-07,2021-04-18,73,2021-08-04,onboarded,624,26.36,564.51,58,90.18,45
2021-06-03,2021-06-05,72,2021-03-10,activated,386,1796.25,1149.63,76,68.86,93
2021-08-17,2021-07-22,54,2021-07-02,onboarded,726,828.64,151.14,43,47.28,95
2021-10-11,2021-07-26,92,2021-09-06,activated,867,881.6,1849.19,73,96.31,30
2021-08-01,2021-07-15,21,2021-05-26,activated,618,155.66,1476.7,29,26.2,57
2021-07-15,2021-07-27,26,2021-03-18,onboarded,226,526.63,254.29,100,2.26,95
2021-11-10,2021-11-25,24,2021-11-20,pending,248,1491.73,496.4,81,83.73,59
2021-03-20,2021-06-02,15,2021-08-13,activated,243,1734.16,826.2,69,44.14,98
2021-04-28,2021-07-04,55,2021-11-29,onboarded,150,1135.53,533.27,31,27.2,3
2021-01-19,2021-11-17,81,2021-08-19,onboarded,438,1976.92,1656.13,44,30.17,46
2021-11-11,2021-06-05,29,2021-06-30,activated,121,1228.95,15.84,24,97.74,17
2021-01-27,2021-07-05,53,2021-05-27,onboarded,504,1709.99,542.64,59,83.94,17
2021-04-10,2021-09-18,66,2021-09-23,onboarded,505,1243.65,663.53,99,73.44,16
2021-06-22,2021-08-09,64,2021-11-29,onboarded,268,767.57,1497.99,38,99.58,87
2021-02-07,2021-11-26,91,2021-06-11,activated,367,146.43,200.62,16,97.85,80
2021-06-04,2021-07-04,81,2021-09-13,onboarded,800,156.28,1503.38,51,72.6,41
2021-07-25,2021-04-10,48,2021-10-09,activated,150,262.84,1502.32,90,58.82,84
2021-02-17,2021-09-21,12,2021-03-18,onboarded,501,1228.77,1875.1,36,75.35,7
2021-11-03,2021-02-10,9,2021-04-01,activated,292,1524.43,1477.73,14,19.32,54
2021-12-06,2021-04-26,13,2021-09-28,onboarded,970,1745.83,1154.69,27,6.9,46
2021-09-26,2021-03-13,41,2021-03-16,activated,846,1089.69,853.74,84,93.85,41
2021-03-08,2021-11-25,76,2021-01-21,activated,636,1476.21,232.33,56,34.87,96
2021-05-23,2021-12-16,69,2021-02-25,activated,754,1705.94,455.47,22,31.49,8
2021-10-20,2021-08-27,65,2021-10-14,onboarded,755,1793.34,461.2,23,64.51,57
2021-01-04,2021-06-28,100,2021-12-28,activated,308,1057.64,668.27,89,26.19,89
2021-03-18,2021-06-26,91,2021-10-17,activated,401,671.61,593.36,1,96.82,37
2021-07-09,2021-02-15,12,2021-02-05,onboarded,668,1849.56,1964.12,22,46.53,19
2021-01-13,2021-09-28,50,2021-04-09,onboarded,989,1694,1838.83,44,1.41,16
2021-07-19,2021-07-14,66,2021-09-07,onboarded,724,1432.67,1738.24,92,74.75,69
2021-01-01,2021-06-16,96,2021-03-01,pending,896,896.7,1595.39,68,95.27,4
2021-05-30,2021-09-29,95,2021-02-12,pending,790,645.1,1862.54,50,46.16,89
2021-01-06,2021-10-25,7,2021-02-10,onboarded,942,147.76,333.69,60,42.97,85
2021-06-01,2021-11-13,18,2021-07-18,onboarded,189,549.2,747.6,10,94.24,17
2021-06-27,2021-04-09,1,2021-08-12,pending,696,1586.6,1504.14,85,48.26,76
2021-03-11,2021-05-07,90,2021-12-24,onboarded,586,1306.17,467.65,66,23.26,88
2021-09-04,2021-02-14,34,2021-07-18,pending,965,85.8,948.43,58,51.46,13
2021-11-19,2021-12-02,96,2021-04-13,activated,742,41.52,114.37,39,92.75,39
2021-04-09,2021-02-08,53,2021-11-26,onboarded,104,918.34,580.79,54,25.63,100
2021-02-05,2021-11-13,64,2021-06-03,activated,11,1356.83,961.96,12,84.43,39
2021-05-08,2021-05-31,86,2021-07-18,pending,555,307.84,1523,51,15.78,77
2021-07-24,2021-09-21,38,2021-06-07,activated,547,994.8,974.7,23,87.52,13
2021-08-11,2021-11-06,46,2021-02-16,pending,541,149.68,1131.29,11,17.59,58
2021-08-20,2021-09-17,33,2021-08-30,activated,68,1033.68,888.75,51,17.67,39
2021-06-14,2021-12-14,76,2021-07-10,pending,623,1070.7,324.39,14,21.4,17
2021-05-05,2021-11-11,17,2021-04-10,onboarded,50,1482.7,1507.63,36,28.98,29
2021-10-29,2021-10-03,46,2021-10-14,onboarded,25,1307.69,142.37,66,57.79,55
2021-03-22,2021-02-23,39,2021-09-05,onboarded,208,385.9,1983.6,80,26.2,18
2021-07-11,2021-03-11,94,2021-11-06,onboarded,593,580.4,235.1,61,82.13,97
2021-12-10,2021-06-25,53,2021-11-30,activated,322,1979.65,178.71,87,51.6,53
2021-03-20,2021-12-23,34,2021-11-24,onboarded,67,117.38,306.93,37,94.38,6
2021-09-04,2021-09-05,27,2021-05-02,pending,931,1362.5,592.16,12,72.57,78
2021-06-06,2021-05-19,78,2021-06-20,onboarded,361,1420.1,1808.45,2,97.84,16
2021-02-24,2021-02-21,36,2021-12-23,onboarded,897,1521.83,128.52,13,36.28,51
2021-07-07,2021-09-01,91,2021-11-05,onboarded,533,1030.19,702.61,74,17.9,9
2021-12-13,2021-04-09,30,2021-07-14,pending,833,1776.93,427.88,7,55.53,72
2021-10-22,2021-07-03,14,2021-01-10,onboarded,535,1562.98,1054.47,5,81.3,100
2021-07-10,2021-05-09,8,2021-07-18,onboarded,764,1476.32,139.12,96,91.95,89
2021-04-16,2021-09-14,13,2021-09-13,activated,548,1632.28,1838.52,14,80.82,6
2021-09-20,2021-08-06,98,2021-11-03,onboarded,891,1568.22,397.44,54,97.78,52
2021-11-16,2021-11-04,81,2021-03-29,onboarded,368,207.42,129.36,11,75.98,54
2021-03-31,2021-08-06,99,2021-12-04,activated,206,607.4,549.67,12,9.63,86
2021-02-24,2021-12-16,48,2021-01-15,pending,476,1358.86,226.5,63,10.81,27
2021-11-24,2021-06-03,70,2021-04-02,onboarded,464,1228.17,937.9,73,84.31,28
2021-06-24,2021-08-04,33,2021-06-29,onboarded,941,1085.1,661.24,7,92.92,6
2021-04-27,2021-01-18,55,2021-09-27,onboarded,748,742.94,1292.32,85,89.98,31
2021-12-15,2021-03-21,3,2021-09-06,onboarded,678,945.5,1752.95,33,54.77,65
2021-10-19,2021-07-31,6,2021-08-24,onboarded,807,308.93,922.72,36,31.24,20
2021-05-04,2021-05-01,49,2021-06-06,onboarded,492,390.3,467.24,97,91.3,99
2021-03-20,2021-02-20,54,2021-12-18,onboarded,123,1523.45,153.49,9,12.47,4
2021-12-24,2021-08-14,78,2021-12-25,activated,837,1302.12,143.14,8,21.42,74
2021-07-16,2021-10-19,63,2021-11-16,onboarded,511,965.93,1536.7,17,55.4,64
2021-06-18,2021-04-04,53,2021-10-28,onboarded,322,1286.94,1459.86,67,24.29,65
2021-10-29,2021-09-02,96,2021-08-31,onboarded,298,1953.83,214.33,75,14.8,83
2021-07-03,2021-06-21,19,2021-12-04,onboarded,739,1081.52,20.57,41,46.92,99
2021-08-18,2021-06-06,43,2021-05-31,onboarded,273,181.45,262.84,50,79.63,77
2021-09-06,2021-01-16,36,2021-05-15,activated,166,1275.1,1183.55,47,30.84,46
2021-01-12,2021-12-13,33,2021-09-07,activated,934,1451.8,818.54,31,90.26,9
2021-03-25,2021-03-21,95,2021-11-11,activated,331,1970.98,1194.27,31,84.55,3
2021-05-04,2021-06-13,60,2021-05-15,onboarded,481,378.63,1883,90,57.95,82
2021-06-29,2021-08-31,86,2021-10-10,onboarded,558,1501.18,1321.89,38,82.39,10
2021-04-09,2021-07-29,78,2021-05-10,activated,854,32.29,1641.98,79,62.65,53
2021-10-20,2021-01-01,17,2021-10-25,activated,336,1009.21,1794.17,99,59.91,79
2021-11-14,2021-01-10,97,2021-05-09,activated,730,1812.36,324.86,100,81.8,63
2021-06-22,2021-08-31,54,2021-11-25,pending,827,189.25,1977.32,97,72.32,95
2021-01-16,2021-12-17,93,2021-05-10,activated,788,378.1,1476.98,6,19.42,21
2021-08-19,2021-03-31,90,2021-05-16,onboarded,759,861.97,315.51,76,71.69,64
2021-03-16,2021-06-21,75,2021-08-04,pending,801,579,413.62,19,83.82,90
2021-12-20,2021-03-11,10,2021-09-24,onboarded,670,261.37,324.19,80,64.1,25
2021-05-19,2021-03-06,49,2021-05-11,pending,203,1956.95,852.24,100,55.43,32
2021-12-27,2021-12-12,72,2021-11-02,onboarded,804,1824.8,1932.35,16,28.31,23
2021-04-03,2021-04-07,91,2021-12-10,onboarded,948,566.37,990.39,31,34.33,9
2021-03-23,2021-02-05,55,2021-07-04,onboarded,415,966.65,538.29,34,96.53,95
2021-02-24,2021-11-07,14,2021-08-10,onboarded,671,612.84,1171.3,21,99.43,46
2021-10-14,2021-11-30,13,2021-07-22,onboarded,605,532.8,1140.32,99,31.31,92
2021-11-11,2021-08-09,75,2021-01-10,onboarded,715,249.2,1504.64,53,62.58,34
2021-12-05,2021-06-15,58,2021-04-22,onboarded,475,347.94,968.89,30,89.13,45
2021-01-28,2021-02-25,67,2021-12-24,onboarded,168,1729.14,1384.27,21,61.38,60
2021-09-25,2021-03-09,47,2021-10-04,activated,885,1254.79,1430.35,37,32.1,13
2021-06-04,2021-08-31,46,2021-08-28,onboarded,853,850.76,44.13,33,18.22,12
2021-11-18,2021-05-26,27,2021-02-23,activated,499,572.63,562.65,1,41.94,49
2021-06-28,2021-01-30,18,2021-12-10,activated,442,816.71,1129.81,17,81.45,76
2021-07-02,2021-05-18,61,2021-03-29,onboarded,945,1255.27,1216.56,85,60.13,8
2021-07-01,2021-02-07,49,2021-05-27,onboarded,874,644.3,1219.5,9,2.26,24
2021-10-11,2021-04-18,93,2021-10-13,activated,927,1851.86,145.89,13,79.6,4
2021-11-24,2021-12-07,58,2021-03-22,onboarded,681,1515.52,762.26,42,31.77,54
2021-07-07,2021-05-29,50,2021-04-24,activated,278,289.96,1630.27,77,42.38,37
2021-09-08,2021-06-22,38,2021-09-04,pending,101,252.57,1022.76,76,17.44,72
2021-10-02,2021-06-27,95,2021-01-16,onboarded,570,510.1,1690.17,2,36.3,89
2021-05-13,2021-09-08,27,2021-03-17,onboarded,787,192.53,339.52,46,87.68,4
2021-01-05,2021-12-24,30,2021-05-04,activated,10,319.7,1759.57,34,3.79,24
2021-10-27,2021-11-27,74,2021-08-21,onboarded,338,320.62,508.92,64,93.87,3
2021-07-17,2021-12-14,46,2021-05-08,onboarded,174,1211.31,1132.16,85,54.35,18
2021-12-19,2021-04-26,4,2021-01-04,onboarded,907,1494.58,1099.85,34,75.42,83
2021-05-01,2021-09-18,56,2021-12-28,activated,650,1371.3,1002.17,84,7.23,58
2021-02-19,2021-11-11,76,2021-02-25,activated,331,458.22,1751.32,25,68.42,40
2021-10-17,2021-07-20,41,2021-07-29,onboarded,544,497.28,1111.58,45,29.21,69
2021-06-26,2021-09-13,3,2021-02-08,activated,239,419.19,1576.46,94,97.39,99
2021-11-15,2021-08-24,15,2021-03-06,activated,788,1656.76,1555.48,68,45.79,76
2021-11-11,2021-06-06,33,2021-12-15,onboarded,524,809.82,1997.12,78,56.62,62
2021-06-13,2021-06-29,96,2021-11-23,pending,516,1047.29,52.84,19,41.8,1
2021-05-25,2021-06-22,59,2021-12-24,onboarded,589,1092.77,1898.62,81,72.49,7
2021-05-30,2021-07-12,47,2021-02-07,activated,128,1440.81,1424.24,100,91.63,77
2021-06-19,2021-07-02,60,2021-04-24,activated,314,522.11,747.48,3,52.67,66
2021-04-03,2021-02-24,99,2021-01-25,onboarded,422,813.47,1717.18,33,91.6,13
2021-01-10,2021-11-15,7,2021-11-28,onboarded,697,1935.7,1439.35,47,9.5,41
2021-05-10,2021-05-08,84,2021-01-15,onboarded,666,1433.86,1196.98,6,66.5,20
2021-12-13,2021-05-20,37,2021-12-21,pending,313,35.61,1355.5,14,40.44,82
2021-04-03,2021-05-13,42,2021-06-02,activated,516,1310.11,1363.29,85,14.45,81
2021-06-13,2021-03-17,22,2021-06-22,onboarded,685,1659.48,524.85,20,90.16,24
2021-07-22,2021-09-26,20,2021-09-22,pending,155,132.95,134.81,99,14.95,83
2021-05-10,2021-03-01,45,2021-10-03,onboarded,77,1513.63,1645.3,2,76.25,5
2021-08-05,2021-03-14,8,2021-01-16,activated,277,1178.73,779.33,32,59.73,98
2021-04-17,2021-09-02,90,2021-02-12,onboarded,91,295.56,857.42,32,99.7,5
2021-04-02,2021-02-16,87,2021-12-30,onboarded,209,1427.52,620.26,16,38.17,46
2021-04-21,2021-01-31,93,2021-05-18,onboarded,897,95.45,1213.75,62,65.76,93
2021-05-19,2021-04-26,92,2021-12-08,activated,913,1972.69,1754.2,36,78.97,43
2021-10-29,2021-01-27,24,2021-05-10,activated,225,473.61,1380.81,66,44.88,70
2021-04-12,2021-02-18,26,2021-03-09,activated,230,1972.48,276.68,52,37.23,60
2021-06-07,2021-12-17,99,2021-06-19,onboarded,777,1441.23,1553.67,86,64.26,85
2021-03-23,2021-08-03,89,2021-03-13,onboarded,737,1139.44,1115.82,37,54.34,59
2021-10-07,2021-10-18,92,2021-06-09,activated,553,659.92,1877.83,27,40.95,78
2021-05-31,2021-02-05,67,2021-08-04,onboarded,304,890.89,1510.61,96,25.61,21
2021-06-25,2021-07-16,2,2021-05-29,onboarded,50,192.42,66.83,21,87.6,3
2021-11-29,2021-10-03,48,2021-01-01,activated,36,139.99,1827.78,62,7.21,96
2021-07-06,2021-09-26,74,2021-06-11,onboarded,384,63.39,1226.25,61,77.41,70
2021-05-03,2021-09-21,91,2021-06-18,pending,258,1403.21,1473.28,20,8.85,59
2021-06-23,2021-04-05,73,2021-11-28,onboarded,331,180.6,1786.59,96,26.5,40
2021-04-15,2021-10-21,76,2021-01-08,pending,26,1245.92,1695.74,70,71.12,61
2021-06-21,2021-03-27,19,2021-07-30,onboarded,240,1141.18,989.69,26,21.45,8
2021-07-20,2021-07-31,94,2021-07-12,onboarded,444,968.1,1113.94,42,52.38,52
2021-08-14,2021-04-30,5,2021-02-17,onboarded,738,632.61,766.6,40,57.1,69
2021-11-24,2021-09-18,80,2021-10-01,activated,765,1828.75,210.51,4,22.15,42
2021-07-11,2021-09-07,68,2021-01-03,activated,988,1489.22,92.24,54,97.52,11
2021-05-22,2021-12-21,91,2021-10-02,onboarded,542,308.62,195.31,80,39.14,53
2021-12-30,2021-09-05,88,2021-09-28,onboarded,410,982.82,622.63,72,90.81,87
2021-01-02,2021-09-27,11,2021-08-11,onboarded,516,1367.55,877.23,70,94.34,71
2021-11-20,2021-04-11,46,2021-02-22,onboarded,264,1084.7,525.4,82,71.97,67
2021-08-29,2021-02-01,44,2021-03-13,onboarded,49,1164.44,1184.4,93,22.35,20
2021-07-09,2021-07-07,13,2021-07-28,onboarded,818,595.5,600.43,59,47.7,32
2021-01-11,2021-01-21,7,2021-05-16,activated,421,1846.15,1460.53,97,49.86,80
2021-05-05,2021-01-23,61,2021-10-27,pending,858,805.23,1914.99,25,11.34,4
2021-04-05,2021-05-02,68,2021-09-23,activated,696,1693.3,1154.21,64,81.39,51
2021-06-11,2021-03-03,55,2021-11-02,onboarded,57,1810.32,1666.61,74,9.59,45
2021-06-03,2021-06-28,48,2021-07-23,activated,920,434.63,817.75,92,96.92,50
2021-04-17,2021-12-29,41,2021-01-05,onboarded,607,1178.21,89.43,41,94.38,47
2021-01-25,2021-09-06,58,2021-03-17,pending,13,1286.32,324.9,13,4.96,3
2021-02-03,2021-05-27,76,2021-09-23,onboarded,933,1939.14,925.26,73,95.6,2
2021-01-13,2021-01-28,33,2021-05-27,activated,404,494.2,1324.59,82,17.93,36
2021-05-06,2021-06-13,59,2021-02-13,onboarded,277,1862.58,1604.31,35,76.2,70
2021-12-20,2021-06-15,57,2021-02-09,onboarded,750,868.46,1442.52,74,59.21,28
2021-08-20,2021-09-15,82,2021-04-21,pending,187,478.22,142.29,31,21.85,20
2021-07-20,2021-06-07,83,2021-06-04,activated,757,991.85,1579.61,27,94.5,38
2021-11-04,2021-02-08,91,2021-11-24,activated,869,1492.65,790.86,57,33.54,93
2021-11-06,2021-04-16,55,2021-03-11,onboarded,485,1811.5,835.81,71,15.54,33
2021-11-02,2021-03-29,15,2021-08-10,activated,903,1429.3,1421.12,30,52.34,70
2021-07-31,2021-02-08,34,2021-05-13,onboarded,940,238.6,1880.17,85,20.77,83
2021-02-08,2021-07-16,41,2021-01-28,activated,802,951.91,583.53,58,65.7,81
2021-08-24,2021-11-26,28,2021-10-17,onboarded,719,789.68,1041.86,13,90.37,46
2021-04-11,2021-01-16,21,2021-04-09,activated,356,1848.51,1918.31,23,19.75,40
2021-07-01,2021-06-21,45,2021-10-28,activated,91,1419.52,1284.8,25,27.7,96
2021-02-11,2021-02-24,98,2021-01-25,onboarded,697,807.1,503.2,5,85.65,39
2021-09-26,2021-01-17,77,2021-03-24,onboarded,893,1962.83,1134.97,3,87.47,92
2021-02-04,2021-05-30,57,2021-12-23,activated,858,566.75,1139.16,94,2.71,18
2021-11-15,2021-09-23,80,2021-03-02,onboarded,203,1712.46,1482.99,70,75.6,33
2021-11-04,2021-04-13,95,2021-02-25,onboarded,142,98.77,112.74,80,45.57,91
2021-09-10,2021-03-21,79,2021-05-24,onboarded,170,348.53,824.42,88,76.78,69
2021-01-30,2021-07-13,47,2021-05-04,activated,704,67.73,513.89,9,9.51,36
2021-09-10,2021-07-18,88,2021-03-15,onboarded,802,745.87,889.51,66,53.8,68
2021-01-04,2021-11-01,98,2021-04-24,pending,763,1697.4,1476.87,20,98.94,15
2021-03-29,2021-12-29,26,2021-08-02,activated,314,1051.25,869.89,55,23.79,70
2021-09-02,2021-04-23,33,2021-12-15,onboarded,324,430.52,1237.58,64,3.79,5
2021-03-26,2021-03-23,3,2021-05-03,activated,984,409.35,1316.15,85,63.1,94
2021-01-31,2021-08-21,41,2021-03-09,onboarded,766,1688.91,1034.57,75,32.76,56
2021-08-18,2021-09-21,21,2021-04-14,pending,554,145.14,1.9,26,53.1,6
2021-01-17,2021-06-27,6,2021-06-04,activated,795,1843.6,496.51,41,95.34,14
2021-08-09,2021-06-30,97,2021-05-12,onboarded,25,848.94,1336.14,13,79.59,12
2021-06-27,2021-01-09,75,2021-09-15,activated,851,1564.54,548.8,24,90.43,35
2021-01-07,2021-12-24,72,2021-09-17,onboarded,737,1156.83,762.44,53,84.9,24
2021-02-17,2021-01-16,89,2021-01-05,onboarded,739,239.77,1179.33,11,39.15,78
2021-12-07,2021-11-27,67,2021-06-17,onboarded,754,1466.51,1510,48,64.15,63
2021-01-17,2021-10-18,31,2021-05-18,onboarded,778,1669.9,1476.52,35,17.58,52
